File	Prediction
crdo-NRU_F4_APPEAL_part1.wav	ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ ə˩gi˩ zo˩no˥ hĩ˧ʈʂʰɯ˧dʑo˩ əə… ɖʐwæ˧ ɖʐwæ˥hɤ˩hoɤ˩ mə… pi˧dʑo˩ ʈʂɯ˧ʈʂɯ˩ ɻæ˧ɻæ˧tʰv̩˧ ɖʐwæ˧ ɖʐwæ˥hwɤ˩hɤ˩ tʰv̩˩ pi˧kv̩˩mæ˩
crdo-NRU_F4_APPEAL_part2.wav	tʰi˩˥ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ tʰi˩˥ zo˩no˥ mm… sɯ˧pʰi˧ki˧ qwɤ˧qwɤ˩bi˩kv̩˩mæ˩
crdo-NRU_F4_APPEAL_part3.wav	sɯ˧pʰi˧ki˧ le˧qwɤ˥qwɤ˩se˩dʑo˩ tʰi˩˥ sɯ˧pʰi˧ no˧ɻ̍˩ dʑɤ˩ pi˧ mɤ˧ʁo˧ njɤ˧ɻ̍˩ dʑɤ˩ pi˧ mɤ˧ʁo˧ ɲi˧ʑi˩ do˧bv̩˧ lɑ˩kv̩˩ze˩mæ˩
crdo-NRU_F4_APPEAL_part4.wav	tʰi˩˥ do˧bv̩˧ lɑ˧˥ dʑo˩ tʰi˩˥ wɤ˩˥ le˧ɖʐwæ˧ɖʐæ˥ le˧ɖʐwæ˧ʐwɤ˥ le˧ʐwæ˧ʐwæ˥dʑo˩ tʰi˩˥ mɤ˧tsɤ˧ mv̩˧ho˧ho˧
crdo-NRU_F4_APPEAL_part5.wav	ʈʰææ̃˧ ho˩ho˥ mɤ˧tʰɑ˧ ho˧ho˥ mɤ˧tʰɑ˩dʑo˩ tʰi˩˥ əəə… sɯ˧pʰi˧ɳɯ˧ no˧sɯ˩kv̩˩ tʰɑ˧ɖʐwæ˧ ɖʐwæ˥ze˩ ɖæ˩mi˧qo˧ kɤ˧ʈʂe˩ hĩ˩hõ˩ pi˧kv̩˩tsɯ˩ mv̩˩
crdo-NRU_F4_APPEAL_part6.wav	tʰi˩˥ əə… no˧ njɤ˧ ə˧zɯ˩dʑo˩ ə˩gi˩ tʰi˩˥ k ɖʐwæ˧ ɖʐwæ˥ɲi˩ze˩mæ˩ ə˩gi˩ tʰi˩˥ le˧ʐwæ˧ʐwæ˥se˩dʑo˩ tʰi˩˥ kɤ˧ʈʂɯ˩  le˧ʐwæ˧ɖʐwæ˥zo˩ le˧ le˧tʰo˧mɤ˧tʰɑ˩ tʰi˩˥ kɤ˧ʈʂe˩ ʝi˩kʰi˩ɲi˩ze˩mæ˩
crdo-NRU_F4_APPEAL_part7.wav	kɤ˧ʈʂɯ˩ ʝi˩bi˩ pi˧dʑo˩ tʰi˩˥ ʈʂʰɯ˧v̩˧ɳɯ˩ njɤ˧ɳɯ˧ kɤ˧ʈʂɯ˩ ʝi˩bi˩ pi˧ no˧ɳɯ˧dʑo˧ kɤ˧ʈʂɯ˩ ʝi˧ ʝi˧bi˧tsæ˥ɲi˩ njɤ˧ mɤ˧gɯ˩˩ mɤ˩ʝi˩ pi˧ tʰi˩˥ ɖwæ˧ɖʐwɤ˥ɲi˩ze˩ mæ˩
crdo-NRU_F4_APPEAL_part8.wav	tʰi˩˥ kɤ˧ʈʂɯ˩ ʝi˩hɯ˩ tʰi˩˥ kɤ˧ʈʂɯ˩ ʝi˩pi˩ze˩ bi˧pi˧ tʰi˩˥ tɕʰo˧tɕʰo˧ hɯ˧ɲi˥ze˩ mæ˩ kɤ˧ʈʂɯ˩ ʝi˩hɯ˩ mm… tʰi˩˥ ɖæ˩mi˧qo˧ mɤ˩mv̩˩ tʰi˧ʈʂv̩˥
crdo-NRU_F4_APPEAL_part9.wav	mm… tʰi˩˥ gɤ˧lɑ˧ki˧ ɬo˧pv̩˥ ti˩ɲi˩ze˩ mæ˩ əəə… gɤ˧lɑ˩ ʁɑ˧dze˧ɳɯ˩ go˩ʝi˥
crdo-NRU_F4_APPEAL_part10.wav	njæ˧zɯ˩dʑo˩ sɯ˧pʰi˧ le˧ʐwɤ˩ mɤ˩tʰo˩˥ əə… no˩mɤ˩ɲi˥ tʰo˧ mɤ˧dʑo˧ze˧ əəə… njɤ˧ no˧ no˧ki˧ mɤ˩mv̩˩ ʈʂv̩˥tsʰɯ˩ɲi˩ no˧ɳɯ˧ ɖɯ˧pʰv̩˥ʈʂʰe˩ njæ˧zɯ˩dʑɤ˩ kɤ˧ʈʂe˧ ʝi˩tsʰɯ˩ɲi˩ njɤ˧ ho˩bi˩˥ no˧ɳɯ˧ ɖɯ˧pʰwɤ˧˥ ɖɯ˧ ˧… ɖɯ˧pʰv̩˧ʈʂʰɯ˥
crdo-NRU_F4_APPEAL_part11.wav	ʈʂʰɯ˧ mɤ˧ho˩bi˩ no˧ɳɯ˩ ɖɯ˧pʰv̩˧˥ ʈʂʰɯ˧ pi˧zo˩ ɲi˧kv̩˧zo˥ ŋwɤ˧qo˥ tʰi˧tɕʰɯ˧˥ le˧ʐwɤ˩ɬo˧pv̩˥ ti˩ɲi˩tsɯ˩ mv̩˩
crdo-NRU_F4_APPEAL_part12.wav	tʰi˩˥ tʰv̩˧ ɖɯ˧kʰwɤ˥ ʐwɤ˩ njɤ˧ ɖɯ˧kʰwɤ˥ ʐwɤ˩ njɤ˧ mɤ˧ho˩ mɤ˧ʝi˧ pi˧ ʈʂʰɯ˧v̩˧ɳɯ˩ njɤ˧ mɤ˧ho˩ mɤ˧ʝi˧
